127.0.0.1 - - [16/Oct/2018:08:38:45 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/ HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/js/jquery/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/css/sam.css HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/css/kaeun.css HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/js/bemeal.js HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/js/jquery/popup.js HTTP/1.1" 200 48320
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:46 +0900] "GET /web/resources/css/yoonho.css HTTP/1.1" 200 44450
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/css/bemeal.less HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/css/junghoon.less HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/js/router.js?_=1539646726963 HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/js/comp.js?_=1539646726965 HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/js/util.js?_=1539646726964 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/js/ui/navi.js?_=1539646726966 HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/js/ui/footer.js?_=1539646726967 HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/footer.jpg HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/banner2.jpg HTTP/1.1" 200 366253
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/banner1.jpg HTTP/1.1" 200 658756
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/item/list/second HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/item/list/third HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/item/list/first HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image10.jpg HTTP/1.1" 200 8439
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image8.jpg HTTP/1.1" 200 7631
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image4.jpg HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image3.jpg HTTP/1.1" 200 10643
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image2.jpg HTTP/1.1" 200 8377
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image6.jpg HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image5.jpg HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image1.jpg HTTP/1.1" 200 11835
0:0:0:0:0:0:0:1 - - [16/Oct/2018:08:38:47 +0900] "GET /web/resources/img/cmm/image7.jpg HTTP/1.1" 200 7330
